method,param,param_value,iteration,time,cuts,objectif
MCTS100,C,3,2,0.084235299,0,24.0
MCTS200,C,3,2,0.2469449,0,24.0
MCTS500,C,3,2,0.4034916,0,24.0
PL1,C,3,3,0.0163509,0,37.0
PL2,C,3,3,0.105978499,26,37.0
PL3,C,3,3,0.0159739,7,Inf
MCTS10,C,3,3,0.007821299,0,36.0
MCTS20,C,3,3,0.0183334,0,36.0
MCTS50,C,3,3,0.043559799,0,36.0
MCTS100,C,3,3,0.0799207,0,36.0
MCTS200,C,3,3,0.1494742,0,36.0
MCTS500,C,3,3,0.3934439,0,36.0
PL1,C,3,4,0.0273858,0,42.0
PL2,C,3,4,0.098068399,23,42.0
PL3,C,3,4,0.0153744,7,Inf
MCTS10,C,3,4,0.0168391,0,36.0
MCTS20,C,3,4,0.0208376,0,40.0
MCTS50,C,3,4,0.048471201,0,33.0
MCTS100,C,3,4,0.089057501,0,33.0
MCTS200,C,3,4,0.1586186,0,32.0
MCTS500,C,3,4,0.400849501,0,32.0
PL1,C,3,5,0.0164062,0,39.0
PL2,C,3,5,0.0790151,21,39.0
PL3,C,3,5,0.0142731,7,Inf
MCTS10,C,3,5,0.008085999,0,34.0
MCTS20,C,3,5,0.0193971,0,38.0
MCTS50,C,3,5,0.0479712,0,34.0
MCTS100,C,3,5,0.083295199,0,34.0
MCTS200,C,3,5,0.1722393,0,37.0
MCTS500,C,3,5,0.3954636,0,34.0
PL1,C,4,1,0.021801,0,35.0
PL2,C,4,1,0.081261099,20,35.0
PL3,C,4,1,0.0147441,7,Inf
MCTS10,C,4,1,0.0152026,0,33.0
MCTS20,C,4,1,0.0281761,0,30.0
MCTS50,C,4,1,0.0611651,0,33.0
MCTS100,C,4,1,0.1067912,0,30.0
MCTS200,C,4,1,0.3312837,0,30.0
MCTS500,C,4,1,0.8382701,0,30.0
PL1,C,4,2,0.103922,0,41.0
PL2,C,4,2,1.1816733,54,41.0
PL3,C,4,2,0.0136063,7,Inf
MCTS10,C,4,2,0.0163735,0,29.0
MCTS20,C,4,2,0.0274827,0,34.0
MCTS50,C,4,2,0.072997899,0,32.0
MCTS100,C,4,2,0.117993,0,33.0
MCTS200,C,4,2,0.2334981,0,33.0
MCTS500,C,4,2,0.552131401,0,33.0
PL1,C,4,3,0.017968201,0,33.0
PL2,C,4,3,0.0443656,18,33.0
PL3,C,4,3,0.0148666,7,Inf
MCTS10,C,4,3,0.010461701,0,33.0
MCTS20,C,4,3,0.0252193,0,33.0
MCTS50,C,4,3,0.064843,0,33.0
MCTS100,C,4,3,0.1088111,0,33.0
MCTS200,C,4,3,0.2081767,0,33.0
MCTS500,C,4,3,0.5352414,0,33.0
PL1,C,4,4,0.0438929,0,49.0
PL2,C,4,4,0.304246001,30,49.0
PL3,C,4,4,0.0145403,7,Inf
MCTS10,C,4,4,0.0107816,0,47.0
MCTS20,C,4,4,0.0265809,0,43.0
MCTS50,C,4,4,0.125453201,0,44.0
MCTS100,C,4,4,0.1114363,0,47.0
MCTS200,C,4,4,0.2289611,0,47.0
MCTS500,C,4,4,0.6254559,0,45.0
PL1,C,4,5,0.0353161,0,41.0
PL2,C,4,5,0.2266276,29,41.0
PL3,C,4,5,0.0156707,7,Inf
MCTS10,C,4,5,0.019597599,0,32.0
MCTS20,C,4,5,0.0417972,0,39.0
MCTS50,C,4,5,0.1042337,0,39.0
MCTS100,C,4,5,0.1821399,0,39.0
MCTS200,C,4,5,0.3384337,0,39.0
MCTS500,C,4,5,0.8310299,0,39.0
PL1,C,5,1,0.0691728,0,46.0
PL2,C,5,1,1.3885703,51,46.0
PL3,C,5,1,0.013874901,7,Inf
MCTS10,C,5,1,0.0168633,0,39.0
MCTS20,C,5,1,0.034500401,0,38.0
MCTS50,C,5,1,0.089395299,0,39.0
MCTS100,C,5,1,0.1688761,0,40.0
MCTS200,C,5,1,0.721940399,0,38.0
MCTS500,C,5,1,1.139721,0,41.0
PL1,C,5,2,0.064522699,0,48.0
PL2,C,5,2,2.8624388,60,48.0
PL3,C,5,2,0.017308,7,Inf
MCTS10,C,5,2,0.0235126,0,40.0
MCTS20,C,5,2,0.039997799,0,36.0
MCTS50,C,5,2,0.0842781,0,33.0
MCTS100,C,5,2,0.176867401,0,36.0
MCTS200,C,5,2,0.3301,0,33.0
MCTS500,C,5,2,0.817255,0,33.0
PL1,C,5,3,0.2271448,0,47.0
PL2,C,5,3,6.453245599,68,47.0
PL3,C,5,3,0.0142715,7,Inf
MCTS10,C,5,3,0.0136114,0,39.0
MCTS20,C,5,3,0.0368761,0,38.0
MCTS50,C,5,3,0.0795176,0,39.0
MCTS100,C,5,3,0.1689735,0,39.0
MCTS200,C,5,3,0.2838862,0,39.0
MCTS500,C,5,3,0.7439687,0,38.0
PL1,C,5,4,0.220458701,0,41.0
PL2,C,5,4,7.7224542,78,41.0
PL3,C,5,4,0.016352,7,Inf
MCTS10,C,5,4,0.0251669,0,36.0
MCTS20,C,5,4,0.045825801,0,30.0
MCTS50,C,5,4,0.0959679,0,35.0
MCTS100,C,5,4,0.182021401,0,30.0
MCTS200,C,5,4,0.317768799,0,33.0
MCTS500,C,5,4,0.809727,0,37.0
PL1,C,5,5,0.054732,0,49.0
PL2,C,5,5,1.164507701,50,49.0
PL3,C,5,5,0.0137868,7,Inf
MCTS10,C,5,5,0.017453501,0,41.0
MCTS20,C,5,5,0.0340167,0,38.0
MCTS50,C,5,5,0.0821844,0,40.0
MCTS100,C,5,5,0.1421284,0,40.0
MCTS200,C,5,5,0.2725814,0,40.0
MCTS500,C,5,5,0.691282199,0,40.0
PL1,C,6,1,0.7309839,0,53.0
PL2,C,6,1,15.3157487,100,55.0
PL3,C,6,1,0.0176699,7,Inf
MCTS10,C,6,1,0.020775,0,45.0
MCTS20,C,6,1,0.0515239,0,44.0
MCTS50,C,6,1,0.117848,0,41.0
MCTS100,C,6,1,0.2491844,0,50.0
MCTS200,C,6,1,0.4250933,0,46.0
MCTS500,C,6,1,1.4103313,0,46.0
PL1,C,6,2,0.422322101,0,51.0
PL2,C,6,2,15.4400395,101,51.0
PL3,C,6,2,0.018072701,7,Inf
MCTS10,C,6,2,0.0215799,0,44.0
MCTS20,C,6,2,0.050462,0,45.0
MCTS50,C,6,2,0.105405901,0,39.0
MCTS100,C,6,2,0.175233,0,39.0
MCTS200,C,6,2,0.3431639,0,39.0
MCTS500,C,6,2,0.9280357,0,43.0
PL1,C,6,3,0.1295374,0,54.00000000000001
PL2,C,6,3,15.1195912,74,56.0
PL3,C,6,3,0.0213398,7,Inf
MCTS10,C,6,3,0.025222,0,43.0
MCTS20,C,6,3,0.0499026,0,43.0
MCTS50,C,6,3,0.092008201,0,39.0
MCTS100,C,6,3,0.1858543,0,43.0
MCTS200,C,6,3,0.3374814,0,39.0
MCTS500,C,6,3,0.9586084,0,41.0
PL1,C,6,4,0.9609543,0,52.00000000000001
PL2,C,6,4,15.1433625,85,55.0
PL3,C,6,4,0.014270301,7,Inf
MCTS10,C,6,4,0.0238953,0,45.0
MCTS20,C,6,4,0.0429875,0,46.0
MCTS50,C,6,4,0.1069728,0,46.0
MCTS100,C,6,4,0.198448099,0,46.0
MCTS200,C,6,4,0.3907798,0,46.0
MCTS500,C,6,4,0.9839307,0,46.0
PL1,C,6,5,0.1876131,0,56.0
PL2,C,6,5,15.3962255,71,57.0
PL3,C,6,5,0.019007699,7,Inf
MCTS10,C,6,5,0.0787339,0,36.0
MCTS20,C,6,5,0.0459803,0,40.0
MCTS50,C,6,5,0.119326701,0,44.0
MCTS100,C,6,5,0.2162277,0,45.0
