method,param,param_value,iteration,time,cuts,objectif
MCTS20,L,7,5,0.045054801,0,33.0
MCTS0_50,L,7,5,0.2607037,0,24.0
MCTS50,L,7,5,0.1106606,0,33.0
MCTS0_100,L,7,5,0.8928181,0,23.0
MCTS100,L,7,5,0.7861961,0,32.0
MCTS0_200,L,7,5,1.2776569,0,25.0
MCTS200,L,7,5,1.3906382,0,32.0
PL1,L,8,1,1.3636857,0,39.0
MCTS0_10,L,8,1,0.0683393,0,20.0
MCTS10,L,8,1,0.100467899,0,31.0
MCTS0_20,L,8,1,0.087200599,0,22.0
MCTS20,L,8,1,0.0549427,0,29.0
MCTS0_50,L,8,1,0.282727,0,20.0
MCTS50,L,8,1,0.123673301,0,31.0
MCTS0_100,L,8,1,0.4194906,0,24.0
MCTS100,L,8,1,0.297360999,0,33.0
MCTS0_200,L,8,1,1.5206777,0,22.0
MCTS200,L,8,1,0.564325001,0,30.0
PL1,L,8,2,0.2597309,0,39.0
MCTS0_10,L,8,2,0.0739401,0,19.0
MCTS10,L,8,2,0.034452101,0,30.0
MCTS0_20,L,8,2,0.1261444,0,18.0
MCTS20,L,8,2,0.0524696,0,28.0
MCTS0_50,L,8,2,0.3987647,0,20.0
MCTS50,L,8,2,0.1246248,0,28.0
MCTS0_100,L,8,2,0.457493799,0,23.0
MCTS100,L,8,2,0.9705794,0,28.0
MCTS0_200,L,8,2,2.8852516,0,24.0
MCTS200,L,8,2,1.8106867,0,28.0
PL1,L,8,3,0.511755,0,42.00000000000001
MCTS0_10,L,8,3,0.042907,0,17.0
MCTS10,L,8,3,0.025634099,0,30.0
MCTS0_20,L,8,3,0.128787601,0,21.0
MCTS20,L,8,3,0.0469433,0,31.0
MCTS0_50,L,8,3,0.3038511,0,20.0
MCTS50,L,8,3,0.1520521,0,33.0
MCTS0_100,L,8,3,0.8329249,0,24.0
MCTS100,L,8,3,0.294059601,0,32.0
MCTS0_200,L,8,3,2.3680174,0,23.0
MCTS200,L,8,3,0.4298113,0,31.0
PL1,L,8,4,0.8920992,0,36.0
MCTS0_10,L,8,4,0.058408299,0,19.0
MCTS10,L,8,4,0.0251484,0,28.0
MCTS0_20,L,8,4,0.1071512,0,19.0
MCTS20,L,8,4,0.0517781,0,28.0
MCTS0_50,L,8,4,0.296671001,0,13.0
MCTS50,L,8,4,0.1987186,0,28.0
MCTS0_100,L,8,4,1.360556501,0,13.0
MCTS100,L,8,4,0.4592469,0,25.0
MCTS0_200,L,8,4,2.262799601,0,20.0
MCTS200,L,8,4,0.4278761,0,28.0
PL1,L,8,5,0.2710436,0,33.0
MCTS0_10,L,8,5,0.039814199,0,12.0
MCTS10,L,8,5,0.0244645,0,26.0
MCTS0_20,L,8,5,0.0889343,0,14.0
MCTS20,L,8,5,0.180538,0,26.0
MCTS0_50,L,8,5,0.4563081,0,13.0
MCTS50,L,8,5,0.4881776,0,23.0
MCTS0_100,L,8,5,0.777211899,0,14.0
MCTS100,L,8,5,0.2242664,0,23.0
MCTS0_200,L,8,5,1.9120174,0,15.0
MCTS200,L,8,5,0.4749329,0,23.0
PL1,L,9,1,1.249578399,0,35.0
MCTS0_10,L,9,1,0.0480177,0,16.0
MCTS10,L,9,1,0.039593,0,25.0
MCTS0_20,L,9,1,0.1077176,0,15.0
MCTS20,L,9,1,0.0783336,0,28.0
MCTS0_50,L,9,1,0.3868505,0,17.0
MCTS50,L,9,1,0.178185599,0,25.0
MCTS0_100,L,9,1,0.6232546,0,18.0
MCTS100,L,9,1,0.410553301,0,26.0
MCTS0_200,L,9,1,2.5067048,0,19.0
MCTS200,L,9,1,0.6774567,0,29.0
PL1,L,9,2,2.8914695,0,34.0
